City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
176,Guayaramerin,BO,69.35,overcast clouds,-10.8368,-65.3614,Hostal Funf
177,Yulara,AU,74.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
178,Ensley,US,84.58,clear sky,30.5188,-87.2728,Holiday Inn Express & Suites Pensacola W I-10
179,Puerto Carreno,CO,72.43,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
180,Mount Isa,AU,80.37,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
181,Ust-Koksa,RU,67.44,broken clouds,50.2696,85.6108,Uymonskaya Dolina
182,San Cristobal,VE,68.18,broken clouds,7.7669,-72.225,Pirineos
183,Pachino,IT,74.3,clear sky,36.7186,15.0907,Il Veliero
184,Kudahuvadhoo,MV,83.5,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
185,Rumonge,BI,75.06,overcast clouds,-3.9736,29.4386,Kwetu Guest House
186,Mayumba,GA,71.82,overcast clouds,-3.432,10.6554,LIKWALE LODGE
187,Bowen,AU,73.2,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
188,Dodge City,US,80.85,clear sky,37.7528,-100.0171,Windsor Inn & Suites
189,Hongjiang,CN,84.49,broken clouds,27.11,109.9956,洪江大酒店
190,Saint-Pierre,RE,74.91,broken clouds,-21.3393,55.4781,Alize Plage
191,Shiyan,CN,83.41,scattered clouds,32.6475,110.7781,Fenghuang Garden Holiday Hotel
192,Samarai,PG,77.23,moderate rain,-10.6167,150.6667,Nuli Sapi
193,Teahupoo,PF,74.53,broken clouds,-17.8333,-149.2667,Vanira Lodge
194,Punta De Piedra,VE,69.87,broken clouds,7.6176,-71.4916,Casa 7 Punta de Piedra
195,Negotin,RS,72.81,clear sky,44.2264,22.5308,Хотел Београд
196,Kirakira,SB,81.72,moderate rain,-10.4544,161.9205,SanBiz Lodge
197,Kulhudhuffushi,MV,82.49,overcast clouds,6.6221,73.07,Haajy Guest House 1
