City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Guerrero Negro,MX,27.9769,-114.0611,64.06,78,0,14.83,clear sky
274,Batsfjord,NO,70.6345,29.7185,46.33,87,100,3.44,overcast clouds
275,Maracacume,BR,-2.0428,-45.9592,71.24,99,43,3.2,scattered clouds
276,Portsmouth,GB,50.799,-1.0913,56.91,76,92,1.99,overcast clouds
277,Salta,AR,-24.7859,-65.4117,36.19,64,0,5.75,clear sky
278,Barao De Melgaco,BR,-16.1944,-55.9675,70.07,77,2,2.46,clear sky
279,Zhanaozen,KZ,43.3,52.8,81.79,22,0,8.93,clear sky
280,Maniitsoq,GL,65.4167,-52.9,40.48,88,100,4.56,light rain
281,Talnakh,RU,69.4865,88.3972,74.21,30,100,10.11,overcast clouds
282,Karratha,AU,-20.7377,116.8463,80.73,34,0,14.85,clear sky
283,Orem,US,40.2969,-111.6946,57.94,36,56,4.99,broken clouds
284,Dutlwe,BW,-23.9833,23.9,56.07,50,0,15.93,clear sky
285,Kantunilkin,MX,21.0917,-87.45,73.65,95,95,4.72,overcast clouds
286,Najran,SA,17.4924,44.1277,90.25,17,87,6.13,overcast clouds
287,Lilongwe,MW,-13.9669,33.7873,50.2,93,0,0.0,fog
288,Burns Lake,CA,54.2331,-125.7533,56.62,72,75,4.83,broken clouds
289,Hunucma,MX,21.0167,-89.8667,78.89,89,98,6.31,overcast clouds
290,Kibi,GH,6.1649,-0.5538,67.6,99,79,1.32,broken clouds
291,Ilulissat,GL,69.2167,-51.1,33.82,93,75,3.44,mist
292,Chernyshevskiy,RU,63.0128,112.4714,61.09,37,100,9.91,overcast clouds
293,Terralba,IT,39.7192,8.6392,76.86,63,0,7.99,clear sky
294,San Patricio,US,28.017,-97.5169,84.88,83,6,7.72,clear sky
295,Coquimbo,CL,-29.9533,-71.3436,49.73,87,75,3.44,broken clouds
296,Asfi,MA,32.2994,-9.2372,65.84,91,5,8.84,clear sky
297,Xifeng,CN,42.7372,124.7222,84.27,59,7,10.49,clear sky
298,Det Udom,TH,14.906,105.0784,93.02,50,70,8.86,broken clouds
299,Fort Nelson,CA,58.8053,-122.7002,62.19,72,75,3.44,broken clouds
