City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Victor Harbor,AU,2022-06-19 03:08:23,-35.5667,138.6167,60.01,63,100,4.0
273,Orbetello,IT,2022-06-19 03:08:24,42.4408,11.2196,69.66,51,27,9.31
274,Coquimbo,CL,2022-06-19 03:08:24,-29.9533,-71.3436,55.13,87,100,4.61
275,Krasnorechenskiy,RU,2022-06-19 03:08:24,44.6265,135.3532,71.8,59,88,11.03
276,Paita,PE,2022-06-19 03:08:24,-5.0892,-81.1144,63.1,83,22,16.26
277,Makakilo City,US,2022-06-19 03:08:25,21.3469,-158.0858,84.52,54,100,14.97
278,Tessaoua,NE,2022-06-19 03:08:25,13.7574,7.9874,83.3,49,83,10.2
279,Camara De Lobos,PT,2022-06-19 03:08:25,32.6333,-16.9667,68.72,86,40,11.5
280,Iqaluit,CA,2022-06-19 03:08:26,63.7506,-68.5145,45.7,50,94,10.0
281,Bolobo,CD,2022-06-19 03:08:26,-2.1667,16.2333,69.21,91,100,2.62
282,Nalut,LY,2022-06-19 03:08:27,30.3333,10.85,75.2,36,0,10.25
283,Tarakan,ID,2022-06-19 03:08:27,3.3,117.6333,85.5,74,40,4.61
284,Miri,MY,2022-06-19 03:08:27,4.4148,114.0089,84.45,68,100,1.77
285,Puerto Quijarro,BO,2022-06-19 03:08:28,-17.7833,-57.7667,64.09,65,2,2.68
286,Ambilobe,MG,2022-06-19 03:08:28,-13.2,49.05,66.16,92,4,3.2
287,Marawi,PH,2022-06-19 03:08:28,7.9986,124.2928,77.7,79,76,3.85
288,Onega,RU,2022-06-19 03:08:29,63.9061,38.1404,49.24,85,100,4.79
289,Palia Kalan,IN,2022-06-19 03:08:29,28.45,80.5833,93.54,34,35,8.77
290,Dunedin,NZ,2022-06-19 03:08:29,-45.8742,170.5036,46.8,75,93,8.01
291,Roma,US,2022-06-19 03:06:12,43.2128,-75.4557,53.87,70,6,11.32
292,Ixchiguan,GT,2022-06-19 03:08:30,15.2,-91.8833,47.98,97,100,2.37
293,San Cristobal,VE,2022-06-19 03:04:47,7.7669,-72.225,73.58,98,32,3.85
294,Saint-Raphael,HT,2022-06-19 03:08:30,19.4333,-72.2,73.35,86,99,2.39
